_id,term,high_school_name,high_school_ceeb,city,county,zip_code,total_attending_suny_institutions,attending_suny_doctoral_institutions,attending_suny_comprehensive_colleges,attending_suny_technology_colleges,attending_suny_community_colleges
608833494e591253b59374e2,2019,Thurgood Marshall Academy,334089,New York,New York,10030,22,1,1,6,10
608833494e591253b59374e3,2019,Medgar Evars College Prep Scho,330759,Brooklyn,Kings,11225,42,23,11,1,5
608833494e591253b59374e4,2019,New Hartford Sr High School,333345,New Hartford,Oneida,13413,91,14,18,1,56
608833494e591253b59374e5,2019,Shaker High School,333388,Latham,Albany,12110,257,62,51,1,141
608833494e591253b59374e6,2019,Rudolf Steiner School,333932,New York,New York,10075,1,0,1,0,1
608833494e591253b59374e7,2019,Kamit Preparatory Institute,330563,Brooklyn,Kings,11216,1,1,0,0,0
608833494e591253b59374e8,2019,New School For Arts & Sciences,330517,Bronx,Bronx,10459,1,0,0,0,1
608833494e591253b59374e9,2019,Walter G O'Connell Copiague Hi,331477,Copiague,Suffolk,11726,207,14,15,32,146
608833494e591253b59374ea,2019,The Charles Finney School,335854,Penfield,Monroe,14526,15,0,4,0,11
608833494e591253b59374eb,2019,Cathedral High School,333520,New York,New York,10022,24,9,11,0,4
608833494e591253b59374ec,2019,Seaford High School,335162,Seaford,Nassau,11783,77,12,13,13,39
608833494e591253b59374ed,2019,Satellite Academy High School,334034,New York,New York,10001,1,0,1,0,1
608833494e591253b59374ee,2019,Pathways To Graduation - Proje,330084,Bronx,Bronx,10459,1,0,1,0,0
608833494e591253b59374ef,2019,United Nations International S,333423,New York,New York,10010,5,4,0,0,1
608833494e591253b59374f0,2019,Margaretville Central School,333045,Margaretville,Delaware,12455,15,1,1,9,1
608833494e591253b59374f1,2019,Edward R Murrow High School,330686,Brooklyn,Kings,11230,108,57,26,7,18
608833494e591253b59374f2,2019,Notre Dame Jr - Sr High School,335687,Utica,Oneida,13502,24,4,4,1,14
608833494e591253b59374f3,2019,Robert H Goddard High School,334393,Ozone Park,Queens,11417,13,8,1,1,1
608833494e591253b59374f4,2019,Half Hollow Hills High School,332493,Dix Hills,Suffolk,11746,149,50,32,23,44
608833494e591253b59374f5,2019,Christian Brothers Academy,330050,Albany,Albany,12205,26,9,1,1,14
608833494e591253b59374f6,2019,Port Chester High School,334575,Port Chester,Westchester,10573,107,16,21,4,66
608833494e591253b59374f7,2019,West Valley Central  H S,335920,West Valley,Cattaraugus,14171,6,1,0,1,1
608833494e591253b59374f8,2019,Brooklyn Democracy Academy,331014,Brooklyn,Kings,11212,5,0,0,0,5
608833494e591253b59374f9,2019,Ogdensburg Free Academy,334280,Ogdensburg,St. Lawrence,13669,57,0,20,31,6
608833494e591253b59374fa,2019,Union Springs High School,335670,Union Springs,Cayuga,13160,23,1,0,1,20
608833494e591253b59374fb,2019,Malverne Senior High School,332990,Malverne,Nassau,11565,67,16,11,9,31
608833494e591253b59374fc,2019,Metropolitan Expeditionary Lrn,331954,Forest Hills,Queens,11375,12,5,5,1,1
608833494e591253b59374fd,2019,Westbury High School,335875,Old Westbury,Nassau,11568,148,7,23,19,99
608833494e591253b59374fe,2019,Urban Assembly School Of Appli,330953,Bronx,Bronx,10457,4,1,0,0,1
608833494e591253b59374ff,2019,Information Technology High Sc,332904,Long Island City,Queens,11101,9,1,1,1,1
608833494e591253b5937500,2019,Bridgehampton Union Free Schoo,330510,Bridgehampton,Suffolk,11932,4,0,1,0,1
608833494e591253b5937501,2019,Thomas Jefferson High School,334866,Rochester,Monroe,14608,1,0,0,0,1
608833494e591253b5937502,2019,W. C. Mepham High School,330385,Bellmore,Nassau,11710,123,23,36,12,52
608833494e591253b5937503,2019,Sharon Springs Central School,335170,Sharon Springs,Schoharie,13459,11,0,1,4,6
608833494e591253b5937504,2019,Argyle Central School,330215,Argyle,Washington,12809,17,0,1,1,13
608833494e591253b5937505,2019,Shelter Island H. S.,335175,Shelter Island,Suffolk,11964,10,1,1,1,4
608833494e591253b5937506,2019,Cascades High School,333513,New York,New York,10002,1,0,0,0,1
608833494e591253b5937507,2019,Urban Asmbly Sch Green Careers,333908,New York,Clinton,10024,7,1,1,1,4
608833494e591253b5937508,2019,Community Health Academy Heigh,331033,New York,New York,10032,9,1,1,1,1
608833494e591253b5937509,2019,Cathedral Prep Semry,330640,Brooklyn,Kings,11238,1,0,1,0,0
608833494e591253b593750a,2019,The Montfort Academy,332646,Mount Vernon,Westchester,10552,9,1,1,1,4
608833494e591253b593750b,2019,Young Women'S Leadership Sch,332911,Astoria,Queens,11102,8,4,1,1,1
608833494e591253b593750c,2019,Gotham Professional Arts Acad,330956,Brooklyn,Kings,11238,4,1,1,1,1
608833494e591253b593750d,2019,Upper Room Christian School,331639,Dix Hills,Suffolk,11746,8,0,1,0,7
608833494e591253b593750e,2019,Christ The King Regional High,333124,Middle Village,Queens,11379,23,7,7,1,6
608833494e591253b593750f,2019,Hannibal Central School,332265,Hannibal,Oswego,13074,48,1,10,1,36
608833494e591253b5937510,2019,Uncommon Preparatory Charter,331159,Brooklyn,Kings,11236,24,10,12,1,0
608833494e591253b5937511,2019,Repertory Company High School,333854,New York,New York,10036,10,1,7,1,1
608833494e591253b5937512,2019,Hillside Childrens Center,334763,Rochester,Monroe,14620,1,0,0,0,1
608833494e591253b5937513,2019,Oakwood Christian School,334980,Troy,Rensselaer,12182,1,1,0,0,0
608833494e591253b5937514,2019,Buffalo Academy For Visual & P,330988,Buffalo,Erie,14209,51,7,19,1,22
608833494e591253b5937515,2019,Williamsburg High School For A,330711,Brooklyn,Kings,11211,14,5,1,5,1
608833494e591253b5937516,2019,Chautauqua Lake Central School,333085,Mayville,Chautauqua,14757,22,0,1,0,19
608833494e591253b5937517,2019,New Explorations Into Science,333843,New York,New York,10002,31,27,1,0,1
608833494e591253b5937518,2019,Minerva Central School,334305,Olmstedville,Essex,12857,1,1,0,0,1
608833494e591253b5937519,2019,Ellenville High School,331800,Ellenville,Ulster,12428,63,6,9,1,46
608833494e591253b593751a,2019,Ellis Preparatory Academy,330854,Bronx,Bronx,10463,1,0,1,0,0
608833494e591253b593751b,2019,Vanderheyden Hall,336034,Wynantskill,Rensselaer,12198,1,0,0,0,1
608833494e591253b593751c,2019,Mesifta Of Yonkers High School,336063,Yonkers,Westchester,10705,1,0,0,0,1
